"Note","Course","Module","Clip","Time in Clip","URL"
"https://jscomplete.com/learn/react-beyond-basics/react-cfp","React: Getting Started","The Basics","Introduction","1:55","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=0&mode=live&start=115.246211&noteid=d5319767-af63-4f59-8513-df18107e441a"
"Why React?\nReact is a Javascript library for building User Interfaces.\nwe tell react what needs to be built and it builds on our behalf","React: Getting Started","The Basics","Why React?","0:08","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=8.830163&noteid=a78f2f7c-2925-4cfa-8b51-30cca972ff61"
"React is declarative","React: Getting Started","The Basics","Why React?","1:51","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=111.698585&noteid=2e8821a7-47c1-4b8e-ba45-ab2db6efb4e8"
"HMTL is declarative for static content. React is declarative for dynamic data.","React: Getting Started","The Basics","Why React?","2:16","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=136.887414&noteid=99a0b502-0784-4e55-9c4e-0d27bae3f57b"
"How React is not being a framework a good thing?\nWith framework many smart design decisions are already being made. It focuses on writing good application level logic.\nDisadvantages of frameworks\nLimited flexibility \n- do things a certain way\n- hard to deviate\nLarge and full of features\n- Hard to customize\n- Use the whole thing\n","React: Getting Started","The Basics","Why React?","2:25","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=145.323484&noteid=b535c4a8-3bf6-4a40-a12a-65c0f7ba9ee8"
"""write program that do one thing and do it well""","React: Getting Started","The Basics","Why React?","3:30","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=210.360304&noteid=c046eabf-df0d-4dc5-8950-51aedc5adede"
"React follows the same thing. Enabling developers to declaratively describe their user interfaces and not all their state of these interfaces.","React: Getting Started","The Basics","Why React?","3:39","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=219.883112&noteid=1070fb1f-b277-472d-8ce4-c6cb95f1c427"
"Working with the DOM is hard. React provides a virtual DOM that is friendlier.\nJust Javascript\nReact Native allows you to use your same react skills to build native  mobile applications. You can even share the same logic with your web, ios and android application.\nDecalarative language (model UI and state)","React: Getting Started","The Basics","Why React?","3:57","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=1&mode=live&start=237.184105&noteid=ab4796ab-8c3a-4a07-acae-f3c0965faf12"
"https://jscomplete.com/learn/why-react","React: Getting Started","The Basics","React's Basic Concepts","0:03","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=2&mode=live&start=3.467401&noteid=5987ff11-4cf5-4b01-8c78-e4a92282ab90"
"React's Basic Concepts\nComponents - Describe user interfaces with components\n - Like functions\n- Input : props, state Output : UI\n- Reusable and composable i.e  we can reuse a component and one component can contain other components\n - <Component />\n- Can manage a private state\n\nReactive updates\n - React will react\nWhen the  state of a react component changes i.e input changes the user interface it represents i.e the output changes as well.\n - Take updates to the browser\n\nVirtual views in memory\n- Generate HTML using Javascript\n- No HTML template language\n - Tree reconciliation\n","React: Getting Started","The Basics","React's Basic Concepts","0:09","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=2&mode=live&start=9.165935&noteid=ab025a6c-bc2e-458a-8cb8-e6042fdd508a"
"React Component \n- Function Component - these are simpler\n- Class Component - these are more powerful","React: Getting Started","The Basics","React's Basic Concepts","3:05","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=2&mode=live&start=185.159602&noteid=4c888e50-978a-4dba-ab2f-e9063796b9e2"
"Props input is an explicit one. It is similar to the list of attributes in html element can have. The State input is an implicit one. React uses state to auto reflect changes in the browser. Within a component the state object can be changed. Props represent fixed values and are immutable. Components can only chang their internal state not their properties.","React: Getting Started","The Basics","React's Basic Concepts","4:05","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=2&mode=live&start=245.385593&noteid=e1beed5f-f98e-419d-bfa2-9cf579782dbd"
"https://chrome.google.com/webstore/detail/react-developer-tools/fmkadmapgofadopljbjfkapdkoienihi?hl=en","React: Getting Started","The Basics","Your First React Component","2:52","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=3&mode=live&start=172.040535&noteid=1187e386-7a22-4333-9e54-2adebc7787a6"
"React Developer Tools","React: Getting Started","The Basics","Your First React Component","2:52","https://app.pluralsight.com/player?course=react-js-getting-started&author=samer-buna&name=react-js-getting-started-m1&clip=3&mode=live&start=172.040535&noteid=1b7861f3-8b3a-4b55-b766-3e429d9be805"
